"","ARM.1","AFG.1","ALB.1","DZA.1","ATG.1","ARG.1","AUS.1","AUT.1","BHS.1","BHR.1","BRB.1","BGD.1","BMU.1","BTN.1","BOL.1","BWA.1","BRA.1","ARB.1","BLZ.1","SLB.1","BRN.1","BGR.1","MMR.1","BDI.1","CMR.1","CAN.1","CPV.1","CAF.1","LKA.1","TCD.1","CHL.1","CHN.1","COL.1","COM.1","COG.1","COK.1","CRI.1","CUB.1","CYP.1","AZE.1","BEN.1","DNK.1","DMA.1","DOM.1","BLR.1","ECU.1","EGY.1","SLV.1","GNQ.1","EST.1","FRO.1","FJI.1","FIN.1","FRA.1","PYF.1","DJI.1","GEO.1","GAB.1","GMB.1","DEU.1","BIH.1","GHA.1","KIR.1","GRC.1","GRL.1","GRD.1","GTM.1","GIN.1","GUY.1","HTI.1","HND.1","HKG.1","HUN.1","HRV.1","ISL.1","IND.1","IDN.1","IRN.1","IRQ.1","IRL.1","ISR.1","ITA.1","CIV.1","KAZ.1","JAM.1","JPN.1","JOR.1","KGZ.1","KEN.1","KHM.1","PRK.1","KOR.1","KWT.1","LVA.1","LAO.1","LBN.1","LSO.1","LBR.1","LBY.1","LTU.1","MAC.1","MDG.1","MWI.1","MYS.1","MDV.1","MLI.1","MLT.1","MRT.1","MUS.1","MEX.1","MNG.1","MAR.1","MOZ.1","MDA.1","NAM.1","NPL.1","NLD.1","ANT.1","NCL.1","MKD.1","VUT.1","NZL.1","NIC.1","NER.1","NGA.1","NOR.1","PAK.1","PAN.1","CZE.1","PNG.1","PRY.1","PER.1","PHL.1","POL.1","PRT.1","GNB.1","TLS.1","ERI.1","QAT.1","ZWE.1","ROU.1","RWA.1","RUS.1","KNA.1","LCA.1","VCT.1","STP.1","SAU.1","SEN.1","SYC.1","SLE.1","SVN.1","SVK.1","SGP.1","SOM.1","ZAF.1","ESP.1","SUR.1","TJK.1","SWZ.1","SWE.1","CHE.1","SYR.1","TKM.1","TWN.1","TZA.1","THA.1","TGO.1","TON.1","TTO.1","OMN.1","TUN.1","TUR.1","ARE.1","UGA.1","TUV.1","GBR.1","UKR.1","USA.1","BFA.1","URY.1","UZB.1","VEN.1","VNM.1","ETH.1","YEM.1","COD.1","ZMB.1","BEL.1","LUX.1","SRB.1","MNE.1","SDN.1","SSD.1","PSE.1","ARM.2","AFG.2","ALB.2","DZA.2","ATG.2","ARG.2","AUS.2","AUT.2","BHS.2","BHR.2","BRB.2","BGD.2","BMU.2","BTN.2","BOL.2","BWA.2","BRA.2","ARB.2","BLZ.2","SLB.2","BRN.2","BGR.2","MMR.2","BDI.2","CMR.2","CAN.2","CPV.2","CAF.2","LKA.2","TCD.2","CHL.2","CHN.2","COL.2","COM.2","COG.2","COK.2","CRI.2","CUB.2","CYP.2","AZE.2","BEN.2","DNK.2","DMA.2","DOM.2","BLR.2","ECU.2","EGY.2","SLV.2","GNQ.2","EST.2","FRO.2","FJI.2","FIN.2","FRA.2","PYF.2","DJI.2","GEO.2","GAB.2","GMB.2","DEU.2","BIH.2","GHA.2","KIR.2","GRC.2","GRL.2","GRD.2","GTM.2","GIN.2","GUY.2","HTI.2","HND.2","HKG.2","HUN.2","HRV.2","ISL.2","IND.2","IDN.2","IRN.2","IRQ.2","IRL.2","ISR.2","ITA.2","CIV.2","KAZ.2","JAM.2","JPN.2","JOR.2","KGZ.2","KEN.2","KHM.2","PRK.2","KOR.2","KWT.2","LVA.2","LAO.2","LBN.2","LSO.2","LBR.2","LBY.2","LTU.2","MAC.2","MDG.2","MWI.2","MYS.2","MDV.2","MLI.2","MLT.2","MRT.2","MUS.2","MEX.2","MNG.2","MAR.2","MOZ.2","MDA.2","NAM.2","NPL.2","NLD.2","ANT.2","NCL.2","MKD.2","VUT.2","NZL.2","NIC.2","NER.2","NGA.2","NOR.2","PAK.2","PAN.2","CZE.2","PNG.2","PRY.2","PER.2","PHL.2","POL.2","PRT.2","GNB.2","TLS.2","ERI.2","QAT.2","ZWE.2","ROU.2","RWA.2","RUS.2","KNA.2","LCA.2","VCT.2","STP.2","SAU.2","SEN.2","SYC.2","SLE.2","SVN.2","SVK.2","SGP.2","SOM.2","ZAF.2","ESP.2","SUR.2","TJK.2","SWZ.2","SWE.2","CHE.2","SYR.2","TKM.2","TWN.2","TZA.2","THA.2","TGO.2","TON.2","TTO.2","OMN.2","TUN.2","TUR.2","ARE.2","UGA.2","TUV.2","GBR.2","UKR.2","USA.2","BFA.2","URY.2","UZB.2","VEN.2","VNM.2","ETH.2","YEM.2","COD.2","ZMB.2","BEL.2","LUX.2","SRB.2","MNE.2","SDN.2","SSD.2","PSE.2"
"FJI",0,0,0,0,0,0,1210000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2420000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9493333.33333333,0,18150000,3583333.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3630000,0,0,0,0,0,0,2420000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1210000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2420000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9493333.33333333,0,18150000,3583333.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3630000,0,0,0,0,0,0,2420000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4106666.66666667,0,0,0,0,0,0,0,0,0,746666.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4106666.66666667,0,0,0,0,0,0,0,0,0,746666.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA",27293333.3333333,0,795066666.666667,111069766666.667,0,61706666.6666667,4.4e+07,24185656666.6667,0,0,239580000,186340000,0,0,0,0,0,0,0,0,0,5177620000,0,0,65045936666.6667,144526666.666667,12882453333.3333,961950000,0,1210000,1045376666.66667,170940000,0,0,51916666.6666667,0,7416090000,0,815023333.333333,62893333.3333333,0,64031700000,0,0,1859506666.66667,2420000,81595873333.3333,0,0,408213333.333333,0,0,1991880000,0,33640000,1210000,32040000,2883800000,0,1933415310000,46280000,15166786666.6667,0,52564213333.3333,0,0,3.63e+09,266200000,0,0,0,8085063333.33333,38045333333.3333,2643893333.33333,2373333333.33333,1701936666.66667,13952466666.6667,145960000,81880000,744822146666.667,44792106666.6667,1220970386666.67,8699650000,339386666.666667,0,3740403333.33333,2784430000,16613333.3333333,27293333.3333333,932910000,0,67454153333.3333,6576666.66666667,1068386666.66667,0,3542470000,0,532400000,88779026666.6667,1868386666.66667,0,2858590000,0,57229613333.3333,1210000,381306666.666667,2047253333.33333,8122733333.33333,120813333.333333,40760000,0,96786173333.3333,0,751160000,0,0,4033676283333.33,0,300293333.333333,1210000,2946666.66666667,479413333.333333,0,107786666.666667,2635540000,89030820000,612320000,0,15523556666.6667,0,0,0,12813373333.3333,56882436666.6667,226721186666.667,0,0,0,244133333.333333,0,23835643333.3333,0,31024640000,0,118666666.666667,0,0,65120000,31106023333.3333,0,0,2087346666.66667,7283783333.33333,3793333.33333333,0,1167993333.33333,6381131253333.33,0,0,0,25970833333.3333,298137186666.667,88400000,0,10205483333.3333,0,1419330000,17680000,0,0,638833333.333333,8973816666.66667,37295090000,458506666.666667,0,0,1981151656666.67,15369706666.6667,1336570000,1006400000,0,8306666.66666667,0,2420000,0,176800000,6240866666.66667,0,2917434346666.67,10169633333.3333,4909240000,0,0,0,0,27293333.3333333,0,795066666.666667,111069766666.667,0,61706666.6666667,4.4e+07,24185656666.6667,0,0,239580000,186340000,0,0,0,0,0,0,0,0,0,5177620000,0,0,65045936666.6667,144526666.666667,12882453333.3333,961950000,0,1210000,1045376666.66667,170940000,0,0,51916666.6666667,0,7416090000,0,815023333.333333,62893333.3333333,0,64031700000,0,0,1859506666.66667,2420000,81595873333.3333,0,0,408213333.333333,0,0,1991880000,0,33640000,1210000,32040000,2883800000,0,1933415310000,46280000,15166786666.6667,0,52564213333.3333,0,0,3.63e+09,266200000,0,0,0,8085063333.33333,38045333333.3333,2643893333.33333,2373333333.33333,1701936666.66667,13952466666.6667,145960000,81880000,744822146666.667,44792106666.6667,1220970386666.67,8699650000,339386666.666667,0,3740403333.33333,2784430000,16613333.3333333,27293333.3333333,932910000,0,67454153333.3333,6576666.66666667,1068386666.66667,0,3542470000,0,532400000,88779026666.6667,1868386666.66667,0,2858590000,0,57229613333.3333,1210000,381306666.666667,2047253333.33333,8122733333.33333,120813333.333333,40760000,0,96786173333.3333,0,751160000,0,0,4033676283333.33,0,300293333.333333,1210000,2946666.66666667,479413333.333333,0,107786666.666667,2635540000,89030820000,612320000,0,15523556666.6667,0,0,0,12813373333.3333,56882436666.6667,226721186666.667,0,0,0,244133333.333333,0,23835643333.3333,0,31024640000,0,118666666.666667,0,0,65120000,31106023333.3333,0,0,2087346666.66667,7283783333.33333,3793333.33333333,0,1167993333.33333,6381131253333.33,0,0,0,25970833333.3333,298137186666.667,88400000,0,10205483333.3333,0,1419330000,17680000,0,0,638833333.333333,8973816666.66667,37295090000,458506666.666667,0,0,1981151656666.67,15369706666.6667,1336570000,1006400000,0,8306666.66666667,0,2420000,0,176800000,6240866666.66667,0,2917434346666.67,10169633333.3333,4909240000,0,0,0,0
"PYF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DJI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GEO",27627700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392893333.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,6050000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59333333.3333333,0,0,0,0,0,148333333.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1210000,0,0,0,0,0,0,0,0,0,0,0,0,0,913733333.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2420000,1210000,0,0,5933333.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,27627700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392893333.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,6050000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59333333.3333333,0,0,0,0,0,148333333.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1210000,0,0,0,0,0,0,0,0,0,0,0,0,0,913733333.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2420000,1210000,0,0,5933333.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0
"GAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GMB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2946666.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2946666.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEU",0,0,0,0,0,17800000,1186666.66666667,118214640000,0,8470000,0,53766666.6666667,0,0,0,0,4840000,0,0,0,0,29273333.3333333,0,0,0,51026666.6666667,0,0,0,0,216020000,792400000,0,0,0,0,0,0,10820000,23046666.6666667,0,33545836666.6667,0,4906666.66666667,3256090000,0,18150000,0,0,283363333.333333,0,0,389800000,687330573333.333,0,0,23573333.3333333,0,0,0,0,0,0,353273333.333333,0,0,0,0,0,0,0,3730000,61677826666.6667,2324860000,4642203333.33333,156173333.333333,0,53653333.3333333,186340000,7289073333.33333,242913333.333333,81596160000,4840000,1210000,0,1049013333.33333,903870000,0,6050000,0,0,11786666.6666667,134310000,414546666.666667,0,0,0,4156666.66666667,0,492836666.666667,0,0,0,3663333.33333333,0,3560000,35600000,0,0,0,0,0,0,69013333.3333333,0,0,550184930000,0,0,7260000,0,2373333.33333333,0,0,101640000,87573333.3333333,0,0,14448820000,0,0,0,0,11982553333.3333,93856666.6666667,0,0,0,0,0,6975603333.33333,0,2720610000,0,0,0,0,16940000,0,0,75020000,2564226666.66667,3637123333.33333,0,0,3560000,29115346666.6667,0,0,0,25658286666.6667,102146440000,0,1186666.66666667,52466666.6666667,0,326700000,0,0,0,0,0,1350426666.66667,155843333.333333,0,0,20333650000,1227013333.33333,2722656666.66667,0,0,0,0,0,0,239580000,0,0,165057266666.667,9192276666.66667,331080000,0,0,0,0,0,0,0,0,0,17800000,1186666.66666667,118214640000,0,8470000,0,53766666.6666667,0,0,0,0,4840000,0,0,0,0,29273333.3333333,0,0,0,51026666.6666667,0,0,0,0,216020000,792400000,0,0,0,0,0,0,10820000,23046666.6666667,0,33545836666.6667,0,4906666.66666667,3256090000,0,18150000,0,0,283363333.333333,0,0,389800000,687330573333.333,0,0,23573333.3333333,0,0,0,0,0,0,353273333.333333,0,0,0,0,0,0,0,3730000,61677826666.6667,2324860000,4642203333.33333,156173333.333333,0,53653333.3333333,186340000,7289073333.33333,242913333.333333,81596160000,4840000,1210000,0,1049013333.33333,903870000,0,6050000,0,0,11786666.6666667,134310000,414546666.666667,0,0,0,4156666.66666667,0,492836666.666667,0,0,0,3663333.33333333,0,3560000,35600000,0,0,0,0,0,0,69013333.3333333,0,0,550184930000,0,0,7260000,0,2373333.33333333,0,0,101640000,87573333.3333333,0,0,14448820000,0,0,0,0,11982553333.3333,93856666.6666667,0,0,0,0,0,6975603333.33333,0,2720610000,0,0,0,0,16940000,0,0,75020000,2564226666.66667,3637123333.33333,0,0,3560000,29115346666.6667,0,0,0,25658286666.6667,102146440000,0,1186666.66666667,52466666.6666667,0,326700000,0,0,0,0,0,1350426666.66667,155843333.333333,0,0,20333650000,1227013333.33333,2722656666.66667,0,0,0,0,0,0,239580000,0,0,165057266666.667,9192276666.66667,331080000,0,0,0,0
"BIH",0,0,29666666.6666667,0,0,0,0,154880000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1210000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42350000,0,0,0,0,0,0,0,0,0,0,0,0,0,480600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9680000,0,0,18150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1210000,0,0,0,56960000,0,0,0,0,0,0,0,0,78436666.6666667,0,0,0,0,0,0,0,0,81070000,10890000,0,0,0,0,0,0,0,0,0,0,141807853333.333,2420000,0,0,4840000,0,58080000,0,0,0,0,0,0,0,0,0,0,0,1801360000,153156666.666667,0,0,0,0,0,29666666.6666667,0,0,0,0,154880000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1210000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42350000,0,0,0,0,0,0,0,0,0,0,0,0,0,480600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9680000,0,0,18150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1210000,0,0,0,56960000,0,0,0,0,0,0,0,0,78436666.6666667,0,0,0,0,0,0,0,0,81070000,10890000,0,0,0,0,0,0,0,0,0,0,141807853333.333,2420000,0,0,4840000,0,58080000,0,0,0,0,0,0,0,0,0,0,0,1801360000,153156666.666667,0,0,0
"GHA",0,0,0,0,0,0,14520000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20430000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12100000,0,0,0,0,0,26620000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15730000,0,0,33410000,0,0,6050000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139150000,0,0,0,0,0,0,5586850000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2420000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4840000,0,0,0,0,0,0,0,0,0,0,4840000,0,0,0,410836666.666667,0,160303333.333333,3827726666.66667,0,0,0,0,0,0,0,0,17313333.3333333,0,0,0,0,0,0,0,0,0,0,0,0,14520000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20430000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12100000,0,0,0,0,0,26620000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15730000,0,0,33410000,0,0,6050000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139150000,0,0,0,0,0,0,5586850000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2420000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4840000,0,0,0,0,0,0,0,0,0,0,4840000,0,0,0,410836666.666667,0,160303333.333333,3827726666.66667,0,0,0,0,0,0,0,0,17313333.3333333,0,0,0,0,0,0
"KIR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
