iso3,year_1,year_2,year_3,year_4,year_5
ITA,-0.4,-0.4,-0.4,-0.4,-0.4
CIV,-0.4,-0.4,-0.4,-0.4,-0.4
KAZ,-0.4,-0.4,-0.4,-0.4,-0.4
JAM,-0.4,-0.4,-0.4,-0.4,-0.4
JPN,-0.4,-0.4,-0.4,-0.4,-0.4
JOR,-0.4,-0.4,-0.4,-0.4,-0.4
KGZ,-0.4,-0.4,-0.4,-0.4,-0.4
KEN,-0.4,-0.4,-0.4,-0.4,-0.4
KHM,-0.4,-0.4,-0.4,-0.4,-0.4
PRK,-0.4,-0.4,-0.4,-0.4,-0.4
KOR,-0.4,-0.4,-0.4,-0.4,-0.4
KWT,-0.4,-0.4,-0.4,-0.4,-0.4
LVA,-0.4,-0.4,-0.4,-0.4,-0.4
LAO,-0.4,-0.4,-0.4,-0.4,-0.4
LBN,-0.4,-0.4,-0.4,-0.4,-0.4
LSO,-0.4,-0.4,-0.4,-0.4,-0.4
LBR,-0.4,-0.4,-0.4,-0.4,-0.4
LBY,-0.4,-0.4,-0.4,-0.4,-0.4
LTU,-0.4,-0.4,-0.4,-0.4,-0.4
MAC,-0.4,-0.4,-0.4,-0.4,-0.4
MDG,-0.4,-0.4,-0.4,-0.4,-0.4
MWI,-0.4,-0.4,-0.4,-0.4,-0.4
MYS,-0.4,-0.4,-0.4,-0.4,-0.4
MDV,-0.4,-0.4,-0.4,-0.4,-0.4
MLI,-0.4,-0.4,-0.4,-0.4,-0.4
MLT,-0.4,-0.4,-0.4,-0.4,-0.4
MRT,-0.4,-0.4,-0.4,-0.4,-0.4
MUS,-0.4,-0.4,-0.4,-0.4,-0.4
MEX,-0.4,-0.4,-0.4,-0.4,-0.4
MNG,-0.4,-0.4,-0.4,-0.4,-0.4
MAR,-0.4,-0.4,-0.4,-0.4,-0.4
MOZ,-0.4,-0.4,-0.4,-0.4,-0.4
MDA,-0.4,-0.4,-0.4,-0.4,-0.4
NAM,-0.4,-0.4,-0.4,-0.4,-0.4
NPL,-0.4,-0.4,-0.4,-0.4,-0.4
NLD,-0.4,-0.4,-0.4,-0.4,-0.4
ANT,-0.4,-0.4,-0.4,-0.4,-0.4
NCL,-0.4,-0.4,-0.4,-0.4,-0.4
MKD,-0.4,-0.4,-0.4,-0.4,-0.4
VUT,-0.4,-0.4,-0.4,-0.4,-0.4
NZL,-0.4,-0.4,-0.4,-0.4,-0.4
NIC,-0.4,-0.4,-0.4,-0.4,-0.4
NER,-0.4,-0.4,-0.4,-0.4,-0.4
NGA,-0.4,-0.4,-0.4,-0.4,-0.4
NOR,-0.4,-0.4,-0.4,-0.4,-0.4
PAK,-0.4,-0.4,-0.4,-0.4,-0.4
PAN,-0.4,-0.4,-0.4,-0.4,-0.4
CZE,-0.4,-0.4,-0.4,-0.4,-0.4
PNG,-0.4,-0.4,-0.4,-0.4,-0.4
PRY,-0.4,-0.4,-0.4,-0.4,-0.4
PER,-0.4,-0.4,-0.4,-0.4,-0.4
PHL,-0.4,-0.4,-0.4,-0.4,-0.4
POL,-0.4,-0.4,-0.4,-0.4,-0.4
PRT,-0.4,-0.4,-0.4,-0.4,-0.4
GNB,-0.4,-0.4,-0.4,-0.4,-0.4
TLS,-0.4,-0.4,-0.4,-0.4,-0.4
ERI,-0.4,-0.4,-0.4,-0.4,-0.4
QAT,-0.4,-0.4,-0.4,-0.4,-0.4
ZWE,-0.4,-0.4,-0.4,-0.4,-0.4
ROU,-0.4,-0.4,-0.4,-0.4,-0.4
RWA,-0.4,-0.4,-0.4,-0.4,-0.4
RUS,-0.4,-0.4,-0.4,-0.4,-0.4
KNA,-0.4,-0.4,-0.4,-0.4,-0.4
LCA,-0.4,-0.4,-0.4,-0.4,-0.4
VCT,-0.4,-0.4,-0.4,-0.4,-0.4
STP,-0.4,-0.4,-0.4,-0.4,-0.4
SAU,-0.4,-0.4,-0.4,-0.4,-0.4
SEN,-0.4,-0.4,-0.4,-0.4,-0.4
SYC,-0.4,-0.4,-0.4,-0.4,-0.4
SLE,-0.4,-0.4,-0.4,-0.4,-0.4
SVN,-0.4,-0.4,-0.4,-0.4,-0.4
SVK,-0.4,-0.4,-0.4,-0.4,-0.4
SGP,-0.4,-0.4,-0.4,-0.4,-0.4
SOM,-0.4,-0.4,-0.4,-0.4,-0.4
ZAF,-0.4,-0.4,-0.4,-0.4,-0.4
ESP,-0.4,-0.4,-0.4,-0.4,-0.4
SUR,-0.4,-0.4,-0.4,-0.4,-0.4
TJK,-0.4,-0.4,-0.4,-0.4,-0.4
SWZ,-0.4,-0.4,-0.4,-0.4,-0.4
SWE,-0.4,-0.4,-0.4,-0.4,-0.4
CHE,-0.4,-0.4,-0.4,-0.4,-0.4
SYR,-0.4,-0.4,-0.4,-0.4,-0.4
TKM,-0.4,-0.4,-0.4,-0.4,-0.4
TWN,-0.4,-0.4,-0.4,-0.4,-0.4
TZA,-0.4,-0.4,-0.4,-0.4,-0.4
THA,-0.4,-0.4,-0.4,-0.4,-0.4
TGO,-0.4,-0.4,-0.4,-0.4,-0.4
TON,-0.4,-0.4,-0.4,-0.4,-0.4
TTO,-0.4,-0.4,-0.4,-0.4,-0.4
OMN,-0.4,-0.4,-0.4,-0.4,-0.4
TUN,-0.4,-0.4,-0.4,-0.4,-0.4
TUR,-0.4,-0.4,-0.4,-0.4,-0.4
ARE,-0.4,-0.4,-0.4,-0.4,-0.4
UGA,-0.4,-0.4,-0.4,-0.4,-0.4
TUV,-0.4,-0.4,-0.4,-0.4,-0.4
GBR,-0.4,-0.4,-0.4,-0.4,-0.4
UKR,-0.4,-0.4,-0.4,-0.4,-0.4
USA,-0.4,-0.4,-0.4,-0.4,-0.4
BFA,-0.4,-0.4,-0.4,-0.4,-0.4
URY,-0.4,-0.4,-0.4,-0.4,-0.4
UZB,-0.4,-0.4,-0.4,-0.4,-0.4
VEN,-0.4,-0.4,-0.4,-0.4,-0.4
VNM,-0.4,-0.4,-0.4,-0.4,-0.4
ETH,-0.4,-0.4,-0.4,-0.4,-0.4
YEM,-0.4,-0.4,-0.4,-0.4,-0.4
COD,-0.4,-0.4,-0.4,-0.4,-0.4
ZMB,-0.4,-0.4,-0.4,-0.4,-0.4
BEL,-0.4,-0.4,-0.4,-0.4,-0.4
LUX,-0.4,-0.4,-0.4,-0.4,-0.4
SRB,-0.4,-0.4,-0.4,-0.4,-0.4
MNE,-0.4,-0.4,-0.4,-0.4,-0.4
SDN,-0.4,-0.4,-0.4,-0.4,-0.4
SSD,-0.4,-0.4,-0.4,-0.4,-0.4
PSE,-0.4,-0.4,-0.4,-0.4,-0.4
