"faf","SHORTNAME","Year","Value"
91,"Hartford",3,0
92,"New York (CT)",3,0
99,"Rest of CT",3,0
101,"Philadelphia (DE)",3,0
109,"Rest of DE",3,0
111,"Washington (DC)",3,0
121,"Jacksonville",3,0
122,"Miami",3,0
123,"Orlando",3,0
124,"Tampa",3,0
129,"Rest of FL",3,0
131,"Atlanta",3,0
132,"Savannah",3,0
139,"Rest of GA",3,0
151,"Honolulu",3,0
159,"Rest of HI",3,0
160,"Idaho",3,0
171,"Chicago (IL)",3,0
172,"St. Louis (IL)",3,0
179,"Rest of IL",3,0
181,"Chicago (IN)",3,0
182,"Indianapolis",3,0
183,"Fort Wayne",3,0
189,"Rest of IN",3,0
190,"Iowa",3,0
201,"Kansas City (KS)",3,0
202,"Wichita",3,0
209,"Rest of KS",3,0
211,"Cincinnati (KY)",3,0
212,"Louisville",3,0
219,"Rest of KY",3,0
221,"Baton Rouge",3,0
222,"Lake Charles",3,0
223,"New Orleans",3,0
229,"Rest of LA",3,0
230,"Maine",3,0
241,"Baltimore",3,0
242,"Washington (MD)",3,0
249,"Rest of MD",3,0
251,"Boston (MA)",3,0
259,"Rest of MA",3,0
261,"Detroit",3,0
262,"Grand Rapids",3,0
269,"Rest of MI",3,0
271,"Minneapolis",3,0
279,"Rest of MN",3,0
280,"Mississippi",3,0
291,"Kansas City (MO)",3,0
292,"St. Louis (MO)",3,0
299,"Rest of MO",3,0
300,"Montana",3,0
311,"Omaha",3,0
319,"Rest of NE",3,0
321,"Las Vegas",3,0
329,"Rest of NV",3,0
331,"Boston (NH)",3,0
339,"Rest of NH",3,0
341,"New York (NJ)",3,0
342,"Philadelphia (NJ)",3,0
350,"New Mexico",3,0
361,"Albany",3,0
362,"Buffalo",3,0
363,"New York (NY)",3,0
364,"Rochester",3,0
369,"Rest of NY",3,0
371,"Charlotte",3,0
372,"Greensboro",3,0
373,"Raleigh",3,0
379,"Rest of NC",3,0
380,"North Dakota",3,0
391,"Cincinnati (OH)",3,0
392,"Cleveland",3,0
393,"Columbus",3,0
394,"Dayton",3,0
399,"Rest of OH",3,0
401,"Oklahoma City",3,0
402,"Tulsa",3,0
409,"Rest of OK",3,0
411,"Portland (OR)",3,0
419,"Rest of OR",3,0
421,"Philadelphia (PA)",3,0
422,"Pittsburgh",3,0
423,"New York (PA)",3,0
429,"Rest of PA",3,0
441,"Rhode Island",3,0
451,"Charleston",3,0
452,"Greenville",3,0
459,"Rest of SC",3,0
460,"South Dakota",3,0
471,"Memphis",3,0
472,"Nashville",3,0
473,"Knoxville",3,0
479,"Rest of TN",3,0
481,"Austin",3,0
482,"Beaumont",3,0
483,"Corpus Christi",3,0
484,"Dallas",3,0
485,"El Paso",3,0
486,"Houston",3,0
487,"Laredo",3,0
488,"San Antonio",3,0
489,"Rest of TX",3,0
491,"Salt Lake City",3,0
499,"Rest of UT",3,0
500,"Vermont",3,0
511,"Richmond",3,0
512,"Norfolk",3,0
513,"Washington (VA)",3,0
519,"Rest of VA",3,0
531,"Seattle",3,0
532,"Portland (WA)",3,0
539,"Rest of WA",3,0
540,"West Virginia",3,0
551,"Milwaukee",3,0
559,"Rest of WI",3,0
560,"Wyoming",3,0
11,"Birmingham",4,0
12,"Mobile",4,0
19,"Rest of AL",4,0
20,"Alaska",4,0
41,"Phoenix",4,0
42,"Tucson",4,0
49,"Rest of AZ",4,0
50,"Arkansas",4,0
61,"Los Angeles",4,0
62,"Sacramento",4,0
63,"San Diego",4,0
64,"San Francisco",4,0
65,"Fresno",4,0
69,"Rest of CA",4,0
81,"Denver",4,0
89,"Rest of CO",4,0
91,"Hartford",4,0
92,"New York (CT)",4,0
99,"Rest of CT",4,0
101,"Philadelphia (DE)",4,0
109,"Rest of DE",4,0
111,"Washington (DC)",4,0
121,"Jacksonville",4,0
122,"Miami",4,0
123,"Orlando",4,0
124,"Tampa",4,0
129,"Rest of FL",4,0
131,"Atlanta",4,0
132,"Savannah",4,0
139,"Rest of GA",4,0
151,"Honolulu",4,0
159,"Rest of HI",4,0
160,"Idaho",4,0
171,"Chicago (IL)",4,0
172,"St. Louis (IL)",4,0
179,"Rest of IL",4,0
181,"Chicago (IN)",4,0
182,"Indianapolis",4,0
183,"Fort Wayne",4,0
189,"Rest of IN",4,0
190,"Iowa",4,0
201,"Kansas City (KS)",4,0
202,"Wichita",4,0
209,"Rest of KS",4,0
211,"Cincinnati (KY)",4,0
212,"Louisville",4,0
219,"Rest of KY",4,0
221,"Baton Rouge",4,0
222,"Lake Charles",4,0
223,"New Orleans",4,0
229,"Rest of LA",4,0
230,"Maine",4,0
241,"Baltimore",4,0
242,"Washington (MD)",4,0
249,"Rest of MD",4,0
251,"Boston (MA)",4,0
259,"Rest of MA",4,0
261,"Detroit",4,0
262,"Grand Rapids",4,0
269,"Rest of MI",4,0
271,"Minneapolis",4,0
279,"Rest of MN",4,0
280,"Mississippi",4,0
291,"Kansas City (MO)",4,0
292,"St. Louis (MO)",4,0
299,"Rest of MO",4,0
300,"Montana",4,0
311,"Omaha",4,0
319,"Rest of NE",4,0
321,"Las Vegas",4,0
329,"Rest of NV",4,0
331,"Boston (NH)",4,0
339,"Rest of NH",4,0
341,"New York (NJ)",4,0
342,"Philadelphia (NJ)",4,0
350,"New Mexico",4,0
361,"Albany",4,0
362,"Buffalo",4,0
363,"New York (NY)",4,0
364,"Rochester",4,0
369,"Rest of NY",4,0
371,"Charlotte",4,0
372,"Greensboro",4,0
373,"Raleigh",4,0
379,"Rest of NC",4,0
380,"North Dakota",4,0
391,"Cincinnati (OH)",4,0
392,"Cleveland",4,0
393,"Columbus",4,0
394,"Dayton",4,0
399,"Rest of OH",4,0
401,"Oklahoma City",4,0
402,"Tulsa",4,0
409,"Rest of OK",4,0
411,"Portland (OR)",4,0
419,"Rest of OR",4,0
421,"Philadelphia (PA)",4,0
422,"Pittsburgh",4,0
423,"New York (PA)",4,0
429,"Rest of PA",4,0
441,"Rhode Island",4,0
451,"Charleston",4,0
452,"Greenville",4,0
459,"Rest of SC",4,0
460,"South Dakota",4,0
471,"Memphis",4,0
472,"Nashville",4,0
473,"Knoxville",4,0
479,"Rest of TN",4,0
481,"Austin",4,0
482,"Beaumont",4,0
483,"Corpus Christi",4,0
484,"Dallas",4,0
485,"El Paso",4,0
486,"Houston",4,0
487,"Laredo",4,0
488,"San Antonio",4,0
489,"Rest of TX",4,0
491,"Salt Lake City",4,0
499,"Rest of UT",4,0
500,"Vermont",4,0
511,"Richmond",4,0
512,"Norfolk",4,0
513,"Washington (VA)",4,0
519,"Rest of VA",4,0
531,"Seattle",4,0
532,"Portland (WA)",4,0
539,"Rest of WA",4,0
540,"West Virginia",4,0
551,"Milwaukee",4,0
559,"Rest of WI",4,0
560,"Wyoming",4,0
11,"Birmingham",5,0
12,"Mobile",5,0
19,"Rest of AL",5,0
20,"Alaska",5,0
41,"Phoenix",5,0
42,"Tucson",5,0
49,"Rest of AZ",5,0
50,"Arkansas",5,0
61,"Los Angeles",5,0
62,"Sacramento",5,0
63,"San Diego",5,0
64,"San Francisco",5,0
65,"Fresno",5,0
69,"Rest of CA",5,0
81,"Denver",5,0
89,"Rest of CO",5,0
91,"Hartford",5,0
92,"New York (CT)",5,0
99,"Rest of CT",5,0
101,"Philadelphia (DE)",5,0
109,"Rest of DE",5,0
111,"Washington (DC)",5,0
121,"Jacksonville",5,0
122,"Miami",5,0
123,"Orlando",5,0
124,"Tampa",5,0
129,"Rest of FL",5,0
131,"Atlanta",5,0
132,"Savannah",5,0
139,"Rest of GA",5,0
151,"Honolulu",5,0
159,"Rest of HI",5,0
160,"Idaho",5,0
171,"Chicago (IL)",5,0
172,"St. Louis (IL)",5,0
179,"Rest of IL",5,0
181,"Chicago (IN)",5,0
182,"Indianapolis",5,0
183,"Fort Wayne",5,0
189,"Rest of IN",5,0
190,"Iowa",5,0
201,"Kansas City (KS)",5,0
202,"Wichita",5,0
209,"Rest of KS",5,0
211,"Cincinnati (KY)",5,0
212,"Louisville",5,0
219,"Rest of KY",5,0
221,"Baton Rouge",5,0
222,"Lake Charles",5,0
223,"New Orleans",5,0
229,"Rest of LA",5,0
230,"Maine",5,0
241,"Baltimore",5,0
242,"Washington (MD)",5,0
249,"Rest of MD",5,0
251,"Boston (MA)",5,0
259,"Rest of MA",5,0
261,"Detroit",5,0
262,"Grand Rapids",5,0
269,"Rest of MI",5,0
271,"Minneapolis",5,0
279,"Rest of MN",5,0
280,"Mississippi",5,0
291,"Kansas City (MO)",5,0
292,"St. Louis (MO)",5,0
299,"Rest of MO",5,0
300,"Montana",5,0
311,"Omaha",5,0
319,"Rest of NE",5,0
321,"Las Vegas",5,0
329,"Rest of NV",5,0
331,"Boston (NH)",5,0
339,"Rest of NH",5,0
341,"New York (NJ)",5,0
342,"Philadelphia (NJ)",5,0
350,"New Mexico",5,0
361,"Albany",5,0
362,"Buffalo",5,0
363,"New York (NY)",5,0
364,"Rochester",5,0
369,"Rest of NY",5,0
371,"Charlotte",5,0
372,"Greensboro",5,0
373,"Raleigh",5,0
379,"Rest of NC",5,0
380,"North Dakota",5,0
391,"Cincinnati (OH)",5,0
392,"Cleveland",5,0
393,"Columbus",5,0
394,"Dayton",5,0
399,"Rest of OH",5,0
401,"Oklahoma City",5,0
402,"Tulsa",5,0
409,"Rest of OK",5,0
411,"Portland (OR)",5,0
419,"Rest of OR",5,0
421,"Philadelphia (PA)",5,0
422,"Pittsburgh",5,0
423,"New York (PA)",5,0
429,"Rest of PA",5,0
441,"Rhode Island",5,0
451,"Charleston",5,0
452,"Greenville",5,0
459,"Rest of SC",5,0
460,"South Dakota",5,0
471,"Memphis",5,0
472,"Nashville",5,0
473,"Knoxville",5,0
479,"Rest of TN",5,0
481,"Austin",5,0
482,"Beaumont",5,0
483,"Corpus Christi",5,0
484,"Dallas",5,0
485,"El Paso",5,0
486,"Houston",5,0
487,"Laredo",5,0
488,"San Antonio",5,0
489,"Rest of TX",5,0
491,"Salt Lake City",5,0
499,"Rest of UT",5,0
500,"Vermont",5,0
511,"Richmond",5,0
512,"Norfolk",5,0
513,"Washington (VA)",5,0
519,"Rest of VA",5,0
531,"Seattle",5,0
532,"Portland (WA)",5,0
539,"Rest of WA",5,0
540,"West Virginia",5,0
551,"Milwaukee",5,0
559,"Rest of WI",5,0
560,"Wyoming",5,0
