"iso3","Country","Year","Production","Imports","Exports","Reserves","Impaired Supply","Ratio of Impaired Supply to Reserves","Ratio of Impaired to Baseline Supply","Gdeg_total","Gdeg_out","Gdeg_in","Gstrength_total","Gbtw","Geigencentral","hs"
"DZA","Algeria",2020,8387108513333.33,27303223413333.3,15745786666.6667,16818013333333.3,0,0,0,84,35,49,27318969200000,0.00641881665865427,0.328762313575922,2.23226133972589e-05
"ECU","Ecuador",2020,16256893333.3333,3451883973333.33,16136230000,465373333333.333,0,0,0,40,14,26,3468020203333.33,0.0228175133094742,0.0731777491273834,6.66136370988027e-05
"EGY","Egypt",2020,30473430766666.7,38437179690000,816153913333.333,14177186666666.7,0,0,0,160,107,53,39253333603333.3,0.00590246247529512,0.5187159399496,0.00176989074017155
"ERI","Eritrea",2020,8.35e+10,205888233333.333,0,0,0,0,0,13,0,13,205888233333.333,0,0.0023712835822925,2.82064668442922e-18
"ESP","Spain",2020,21277788413333.3,20883686490000,3720456716666.67,2211257204303.19,0,0,0,242,159,83,24604143206666.7,0.111203105247227,0.147797782111256,0.00752675191071391
"EST","Estonia",2020,2205965346666.67,270080300000,1706573613333.33,224189820961.336,0,0,0,81,44,37,1976653913333.33,0.025319160301266,0.00875447907444058,0.00644181781627594
"ETH","Ethiopia",2020,15399350560000,3557850796666.67,23454623333.3333,2737686666666.67,0,0,0,66,31,35,3581305420000,0.0353613589017681,0.0504709732914631,7.71754406145991e-05
"FIN","Finland",2020,2914706666666.67,489605166666.667,933701256666.667,299682394881.332,0,0,0,94,54,40,1423306423333.33,0.0540613927318697,0.0053172551719623,0.00270957305614142
"FJI","Fiji",2020,0,607877090000,104991483333.333,55666666666.6667,0,0,0,50,22,28,712868573333.333,0.0225415309011271,0.007884774282709,2.03880949641435e-05
"FRA","France",2020,123295269453333,8458433043333.33,62980916416666.7,12555764659656.2,0,0,0,235,147,88,71439349460000,0.162117408258106,0.428088810276589,0.386329136754316
"FRO","Faroe Islands",2020,0,53102283333.3333,2490000,0,0,0,0,9,1,8,53104773333.3333,0,4.72800940408046e-05,2.72182136483165e-10
"GAB","Gabon",2020,0,398981610000,2265806666.66667,0,0,0,0,36,2,34,401247416666.667,8.01239250040062e-05,0.00455346775268227,2.64733867557383e-06
"GBR","United Kingdom",2020,50839253333333.3,8765125963333.33,8354594590000,5203567501358.12,0,0,0,245,149,96,17119720553333.3,0.0346179869308976,0.125728216687445,0.0293397944314001
"GEO","Georgia",2020,3.89778e+11,1892081626666.67,32888083333.3333,346246666666.667,0,0,0,52,11,41,1924969710000,0.0400619625020031,0.0311021977058857,3.70704954025008e-05
"GHA","Ghana",2020,0,2514907513333.33,235235026666.667,6.9472e+11,0,0,0,79,20,59,2750142540000,0.0456973452272849,0.0470792187328011,7.99974276998141e-05
"GIN","Guinea",2020,0,1136277426666.67,53940000,379646666666.667,0,0,0,50,5,45,1136331366666.67,0.00838630415041931,0.00829012336476574,4.14053528304604e-07
"GMB","Gambia",2020,0,282596820000,396146666.666667,0,0,0,0,43,5,38,282992966666.667,0,0.00272687497799165,2.50862816190577e-07
"GNB","Guinea-Bissau",2020,0,60555730000,0,0,0,0,0,16,0,16,60555730000,0,0.000287329654481814,8.46194005328765e-18
"GNQ","Equatorial Guinea",2020,0,104587950000,0,0,0,0,0,28,0,28,104587950000,0,0.00068888557677557,1.12825867377169e-17
"GRC","Greece",2020,4872229453333.33,3698087390000,1553979560000,500139727596.221,0,0,0,148,93,55,5252066950000,0.02893363958478,0.0302234533284237,0.00776595157772723
"GRD","Grenada",2020,0,63096556666.6667,11268360000,0,0,0,0,19,5,14,74364916666.6667,5.34159500026708e-05,0.00160105906863129,5.62095100233582e-08
"GRL","Greenland",2020,0,0,0,0,0,0,0,0,0,0,0,0,0,5.28871253330478e-19
"GTM","Guatemala",2020,2199946666.66667,2358277703333.33,363813910000,456466666666.667,0,0,0,52,19,33,2722091613333.33,0.00117515090005876,0.0555977659690269,0.000359363102413795
"GUY","Guyana",2020,0,237054060000,10841036666.6667,1.336e+10,0,0,0,40,9,31,247895096666.667,0.0108968538005448,0.00534172155747951,1.19041220698098e-05
"HKG","Hong Kong SAR, China",2020,0,1234404903333.33,205745053333.333,0,0,0,0,126,59,67,1440149956666.67,0.122108861706105,0.0125810524388938,0.000831273519629197
"HND","Honduras",2020,4097066666.66667,1165550330000,192593783333.333,97973333333.3333,0,0,0,37,14,23,1358144113333.33,0.0017360183750868,0.0245125035258484,0.000162959430110361
"HRV","Croatia",2020,2689015073333.33,638763150000,1297033333333.33,277519057324.187,0,0,0,90,53,37,1935796483333.33,0.0303313569431832,0.00810062161289406,0.00490289368726689
"HTI","Haiti",2020,0,1044106650000,0,7.682e+10,0,0,0,31,0,31,1044106650000,0,0.0193557301705154,1.12825867377169e-17
"HUN","Hungary",2020,18014699706666.7,1.11447e+12,9427695396666.67,1843177771668.77,0,0,0,109,71,38,10542165396666.7,0.00857325997542866,0.0455948034317958,0.0248859030661688
"IDN","Indonesia",2020,0,33133574656666.7,731519706666.667,5807146666666.67,0,0,0,164,121,43,33865094363333.3,0.00531488702526574,0.516097926204576,0.0036083085753061
"IND","India",2020,308760978266667,8218629606666.67,2692793886666.67,61146493333333.3,0,0,0,213,157,56,10911423493333.3,0.120185887506009,0.114795154074566,0.0100275502575767
"IRL","Ireland",2020,2255589953333.33,2846102146666.67,653290660000,230198138428.542,0,0,0,104,48,56,3499392806666.67,0.0490714527357869,0.0143950245632722,0.00125655429103458
"IRN","Iran (Islamic Republic of)",2020,43218561260000,5948950623333.33,961065110000,1.835664e+13,0,0,0,117,76,41,6910015733333.33,0.0200398839093353,0.0679436925647575,0.000976088198487712
"IRQ","Iraq",2020,9654978080000,7860754813333.33,0,3177453333333.33,0,0,0,58,0,58,7860754813333.33,0,0.0691239919165128,0
"ISL","Iceland",2020,0,180625826666.667,157853333.333333,0,0,0,0,28,4,24,180783680000,0.0298506133931592,0.000652009437062271,4.93469762625622e-08
"ISR","Israel",2020,460029333333.333,5835474036666.67,94945240000,1842566666666.67,0,0,0,130,72,58,5930419276666.67,0.0943183234513826,0.0748322967067749,0.000426805544992054
"ITA","Italy",2020,24937366293333.3,24897968996666.7,10619852633333.3,2559135686946.44,0,0,0,258,179,79,35517821630000,0.00574221462528711,0.322922727788977,0.0266910490977713
"JAM","Jamaica",2020,0,655394153333.333,29015460000,0,0,0,0,46,20,26,684409613333.333,0.0194256004843046,0.0179934637063717,9.18857635983109e-05
"JOR","Jordan",2020,72572633333.3333,3646747706666.67,123059370000,1.39946e+12,0,0,0,93,33,60,3769807076666.67,0.00424656802521233,0.0322346078504264,0.000219949607405063
"JPN","Japan",2020,3.00767e+12,20215327953333.3,759612700000,3915593333333.33,0,0,0,124,67,57,20974940653333.3,0.0569948186528497,0.468555416219394,0.00150355689327368
"KAZ","Kazakhstan",2020,48469201580000,416866593333.333,21733939723333.3,5518793333333.33,0,0,0,69,33,36,22150806316666.7,0,0.0435252996048552,0.018738074767089
"KEN","Kenya",2020,688596666666.667,5892562826666.67,31402686666.6667,863946666666.667,0,0,0,67,16,51,5923965513333.33,0.0263767961113188,0.0663642953756974,1.67196801096061e-05
"KGZ","Kyrgyzstan",2020,2190051360000,1171327973333.33,5529703333.33333,508793333333.333,0,0,0,31,8,23,1176857676666.67,0,0.00260676458661154,2.87304883247054e-06
"KHM","Cambodia",2020,0,144019426666.667,3335690000,0,0,0,0,60,27,33,147355116666.667,0.156084076705304,0.00143107251385925,1.25446202832585e-05
"KIR","Kiribati",2020,0,15811930000,7340000,0,0,0,0,18,2,16,15819270000,0.0203514769510176,2.14488652658008e-05,1.74621591276672e-08
"KNA","Saint Kitts and Nevis",2020,0,11002623333.3333,4470000,0,0,0,0,16,2,14,11007093333.3333,0.00624966615031248,3.29710996301066e-05,2.08974099923959e-10
"KOR","Republic of Korea",2020,114186806666.667,14736901290000,371181270000,5.09016e+12,0,0,0,175,110,65,15108082560000,0.0648113526699072,0.24681550075892,0.00198002234042147
"KWT","Kuwait",2020,87953333.3333333,1660326326666.67,362284293333.333,0,0,0,0,91,25,66,2022610620000,0.0274023823513701,0.021971902238919,0.00057280993395711
"LAO","Lao People's Democratic Republic",2020,0,52146376666.6667,0,0,0,0,0,9,0,9,52146376666.6667,0,0.000292256419429635,2.82064668442922e-18
"LBN","Lebanon",2020,438468520000,4387095676666.67,134581990000,4.9098e+11,0,0,0,139,75,64,4521677666666.67,0.0244422484553888,0.0593524796312522,0.00104498298852115
"LBR","Liberia",2020,0,232658066666.667,0,0,0,0,0,37,0,37,232658066666.667,0,0.00575354675595348,1.69238801065753e-17
"LBY","Libya",2020,556666666666.667,4531880033333.33,34889680000,362946666666.667,0,0,0,56,6,50,4566769713333.33,0,0.0375345617805703,0.000177538151892807
"LCA","Saint Lucia",2020,0,45901573333.3333,268196666.666667,0,0,0,0,31,7,24,46169770000,0.00197639015009882,0.000301696565786581,1.93204893192965e-07
"LKA","Sri Lanka",2020,0,3318916340000,274095730000,1.32932e+12,0,0,0,101,70,31,3593012070000,0.0203603796093514,0.0677983148544904,0.00124894014809909
"LSO","Lesotho",2020,22945800000,162959046666.667,0,0,0,0,0,3,0,3,162959046666.667,0,0.000403781744296083,0
"LTU","Lithuania",2020,13518308206666.7,723687650000,9869815773333.33,1384377781514.13,0,0,0,133,95,38,10593503423333.3,0.0362516247351459,0.0387562732910117,0.0409840920094006
"LUX","Luxembourg",2020,265984240000,482659116666.667,393261510000,27230248922.0463,0,0,0,55,32,23,875920626666.667,0.00277762940013888,0.00664472045737369,0.00100081289327118
"LVA","Latvia",2020,7.182336e+12,2725411716666.67,7282339063333.33,733890214582.589,0,0,0,147,110,37,10007750780000,0.00101490305005075,0.0576490011597208,0.0335711445155294
"MAC","Macao SAR, China",2020,0,99710703333.3333,2336476666.66667,0,0,0,0,32,8,24,102047180000,0.00617844488364225,0.000302987806910911,4.11429336468209e-06
"MAR","Morocco",2020,19924880220000,14582414196666.7,126875353333.333,15772593333333.3,0,0,0,107,58,49,14709289550000,0.00170931040008547,0.199779469938099,5.90868716227533e-05
"MDA","Republic of Moldova",2020,3858708680000,191607633333.333,1866523426666.67,675793333333.333,0,0,0,90,60,30,2058131060000,0.0231113010344889,0.011203975734744,0.00691874352768276
"MDG","Madagascar",2020,1.67e+10,628816653333.333,275096666.666667,0,0,0,0,35,4,31,629091750000,0,0.00517456997622358,1.41249511289404e-07
"MDV","Maldives",2020,0,103222370000,0,0,0,0,0,36,0,36,103222370000,0,0.000502717887134181,1.12825867377169e-17
"MEX","Mexico",2020,12332550313333.3,16536751463333.3,5835820043333.33,1955013333333.33,0,0,0,106,59,47,22372571506666.7,0.0494435838541388,0.499228605258898,0.037479626819223
"MKD","The former Yugoslav Republic of Macedonia",2020,787976140000,493831870000,126646636666.667,0,0,0,0,93,66,27,620478506666.667,0.0920445845129356,0.000563954724282668,8.30837819069643e-05
"MLI","Mali",2020,115684240000,1128954656666.67,5932533333.33333,69026666666.6667,0,0,0,44,9,35,1134887190000,0.0142887666257144,0.0116980275772679,2.73290284736986e-06
"MLT","Malta",2020,36750020000,225988146666.667,35187216666.6667,0,0,0,0,81,35,46,261175363333.333,0.0983387639549169,0.00193208683562468,0.000203853789075041
"MMR","Myanmar",2020,451109306666.667,1533201386666.67,0,405253333333.333,0,0,0,34,0,34,1533201386666.67,0,0.0190272327621846,0
"MNE","Montenegro",2020,7713173333.33333,324177553333.333,22590273333.3333,0,0,0,0,36,11,25,346767826666.667,0.00192297420009615,0.000164242022018112,1.15608188903981e-05
"MNG","Mongolia",2020,1007483166666.67,326695460000,2389540000,0,0,0,0,42,7,35,3.29085e+11,0.140243576732012,0.00512151636420717,3.60228253614259e-06
"MOZ","Mozambique",2020,60641040000,2253103346666.67,0,2.1042e+11,0,0,0,40,0,40,2253103346666.67,0,0.0287759579601765,2.82064668442922e-17
"MRT","Mauritania",2020,25733586666.6667,1812758036666.67,55040000,268313333333.333,0,0,0,40,3,37,1812813076666.67,0.00657016185032851,0.018421203280618,1.6659890503129e-08
"MUS","Mauritius",2020,0,574500036666.667,89822463333.3333,52326666666.6667,0,0,0,77,27,50,664322500000,0.0195146270676424,0.00703929790635771,2.20359092047927e-05
"MWI","Malawi",2020,3028266666.66667,645867990000,837490000,28946666666.6667,0,0,0,30,5,25,646705480000,0.000267079750013354,0.00915708389860709,1.12185471725406e-06
"MYS","Malaysia",2020,0,5567183766666.67,1042251066666.67,1.19906e+12,0,0,0,199,134,65,6609434833333.33,0.0280700817264035,0.0888606674346745,0.00454470145706592
"NAM","Namibia",2020,29017920000,469433763333.333,9782963333.33333,22266666666.6667,0,0,0,30,5,25,479216726666.667,0,0.00453321747001478,1.25940383021675e-05
"NCL","New Caledonia",2020,33400000,120482283333.333,28240000,0,0,0,0,27,4,23,120510523333.333,0.0517333475775867,0.00147935102022844,2.00879626387038e-09
"NER","Niger",2020,24857393333.3333,286640626666.667,1.8384e+10,0,0,0,0,53,19,34,305024626666.667,0.000427327600021366,0.0027152969093098,0.000169532110329124
"NGA","Nigeria",2020,208193333333.333,15867259300000,23109323333.3333,777106666666.667,0,0,0,85,28,57,15890368623333.3,0.0445399996438937,0.305423949482232,3.14576823042933e-05
"NIC","Nicaragua",2020,0,688616800000,56200316666.6667,24493333333.3333,0,0,0,43,19,24,744817116666.667,0,0.00963092247159868,5.22618578397743e-05
"NLD","Netherlands",2020,3752729366666.67,21801258916666.7,3802363836666.67,385333834663.716,0,0,0,238,159,79,25603622753333.3,0.00646332995032317,0.184788384266911,0.00899964711902091
"NOR","Norway",2020,1.341678e+12,1560201843333.33,34336413333.3333,1.12892e+12,0,0,0,139,80,59,1594538256666.67,0.0672987554083649,0.00693614590041248,3.88465406857366e-05
"NPL","Nepal",2020,6225387033333.33,489652706666.667,22600083333.3333,0,0,0,0,43,18,25,512252790000,0.00576892260028845,0.00179371962549612,0.000107120955575167
"NZL","New Zealand",2020,1422911253333.33,1843006066666.67,99052093333.3333,889553333333.333,0,0,0,109,52,57,1942058160000,0.0876555739543828,0.0235182169476477,4.59850486862668e-05
"OMN","Oman",2020,11673300000,2584658020000,1012626540000,331773333333.333,0,0,0,125,65,60,3597284560000,0.00838630415041931,0.0333453833320851,0.00240644999214246
"PAK","Pakistan",2020,86164100900000,87335093333.3333,2432610226666.67,9289653333333.33,0,0,0,122,88,34,2519945320000,0.00257286825846198,0.00210309391284479,0.00052077693097557
"PAN","Panama",2020,0,715386383333.333,58613706666.6667,4.008e+10,0,0,0,68,16,52,774000090000,0.0653188041949326,0.0151946194691345,0.000182380799880514
"PER","Peru",2020,665835680000,6461825143333.33,337941383333.333,973053333333.333,0,0,0,87,50,37,6799766526666.67,0.0305272154265264,0.150632898669087,0.000567051762489677
"PHL","Philippines",2020,0,17655180290000,261137750000,7115313333333.33,0,0,0,113,61,52,17916318040000,0,0.348101683545701,0.00126413065236238
"PNG","Papua New Guinea",2020,0,808013763333.333,714193333.333333,199286666666.667,0,0,0,29,4,25,808727956666.667,0.0170752986841871,0.0100133846096862,1.92221074589501e-07
"POL","Poland",2020,37242548646666.7,3371508333333.33,14399159730000,3789189978989.07,0,0,0,187,138,49,17770668063333.3,0.0115645531755782,0.0874045586278708,0.0772247962509765
"PRK","Democratic People's Republic of Korea",2020,153417333333.333,2.66561e+11,0,0,0,0,0,14,0,14,2.66561e+11,0,0.0025700216903636,5.64129336885843e-18
"PRT","Portugal",2020,256088933333.333,5534963086666.67,607502096666.667,26597222203.8322,0,0,0,180,118,62,6142465183333.33,0.0447091501522355,0.0456558589686708,0.00199264809107105
"PRY","Paraguay",2020,3677503660000,79728066666.6667,2357205593333.33,680246666666.667,0,0,0,45,14,31,2436933660000,0.00892046365044602,0.0121299021633434,0.0117992319465901
"PSE","Occupied Palestinian Territory",2020,1.09051e+11,236058210000,0,0,0,0,0,36,0,36,236058210000,0,0.00234526405283614,1.12825867377169e-17
"PYF","French Polynesia",2020,0,79645816666.6667,0,0,0,0,0,25,0,25,79645816666.6667,0,0.000749730990537842,1.69238801065753e-17
"QAT","Qatar",2020,24493333.3333333,584875686666.667,46597370000,0,0,0,0,85,20,65,631473056666.667,0.0204583088510229,0.00609580670171041,8.38986471797597e-05
"ROU","Romania",2020,29423737793333.3,5803916313333.33,18506177040000,2971184035484.48,0,0,0,149,103,46,24310093353333.3,0.0117248010255862,0.117044331703058,0.165432041641366
"RUS","Russian Federation",2020,246195875600000,1762639020000,90065458993333.3,30077813333333.3,0,0,0,189,123,66,91828098013333.4,0.0183216708509161,0.597327557409879,1
"RWA","Rwanda",2020,32112986666.6667,394546223333.333,156420436666.667,51213333333.3333,0,0,0,34,7,27,550966660000,0.0223278671011164,0.00500580175058251,8.91634749830663e-05
"SAU","Saudi Arabia",2020,2152465226666.67,12209402693333.3,743321780000,10539926666666.7,0,0,0,131,61,70,12952724473333.3,0.00838630415041931,0.0691845462861171,0.0020807177619795
"SDN","Sudan",2020,1956794666666.67,7349752886666.67,0,1033173333333.33,0,0,0,44,0,44,7349752886666.67,0,0.0855894211724577,0
"SEN","Senegal",2020,0,2305314923333.33,76219176666.6667,172566666666.667,0,0,0,66,20,46,2381534100000,0,0.0289100764830471,3.63248123794672e-05
"SGP","Singapore",2020,0,1413952870000,262308700000,4.509e+11,0,0,0,147,83,64,1676261570000,0.143497498353008,0.0178302613463839,0.00119360449508931
"SLB","Solomon Islands",2020,0,64258796666.6667,0,0,0,0,0,16,0,16,64258796666.6667,0,0.000719809985649869,8.46194005328765e-18
"SLE","Sierra Leone",2020,0,206460160000,23336666.6666667,0,0,0,0,40,5,35,206483496666.667,0.0173334757758667,0.00205878275141119,2.06610970085968e-08
"SLV","El Salvador",2020,0,1078414923333.33,362009606666.667,214873333333.333,0,0,0,42,18,24,1440424530000,0.0333315528016666,0.0252973613154984,0.000434141406609661
"SOM","Somalia",2020,3462466666.66667,1418999293333.33,0,0,0,0,0,38,0,38,1418999293333.33,0,0.00697833263750271,5.64129336885843e-18
"SRB","Serbia",2020,8448377473333.33,188887026666.667,2686840563333.33,1.9205e+12,0,0,0,101,66,35,2875727590000,0.00280433737514022,0.00475097688617147,0.00122462506470026
"SSD","South Sudan",2020,0,103564990000,0,0,0,0,0,10,0,10,103564990000,0,0.000129981807681621,7.05161671107304e-18
"STP","Sao Tome and Principe",2020,0,35323146666.6667,0,0,0,0,0,12,0,12,35323146666.6667,0,6.15886729672492e-05,0
"SUR","Suriname",2020,0,87874216666.6667,3289886666.66667,0,0,0,0,49,9,40,91164103333.3333,0.00443352385022168,0.000523929128752473,2.97477871600949e-06
"SVK","Slovakia",2020,6999533346666.67,781289910000,4633967373333.33,723090843184.222,0,0,0,90,57,33,5415257283333.33,0.00101490305005075,0.0168593423554257,0.00526101934448541
"SVN","Slovenia",2020,513451520000,677065696666.667,446357500000,52765073125.4216,0,0,0,91,54,37,1123423196666.67,0.0122322525506116,0.00478351554672686,0.00258413329081092
"SWE","Sweden",2020,1.050263e+13,1392183830000,3823281576666.67,1068761900529.74,0,0,0,143,74,69,5215465406666.66,0.19187454373876,0.0267465415809986,0.0131129460209672
